food_name,food_category,calories,protein,fat,sugar,fiber,sodium,health_score,carbohydrate,saturated_fat,cholesterol,nova_group,nutri_score
Oatmeal cooked,Grains,71,2.5,1.5,0.3,1.7,4,78,12,0.2,0,1,A
Chicken breast grilled,Meat & Poultry,165,31,3.6,0,0,74,72,0,1,85,1,B
Spinach raw,Vegetables,23,2.9,0.4,0.4,2.2,79,82,3.6,0.1,0,1,A
Apple raw,Fruits,52,0.3,0.2,10,2.4,1,70,14,0,0,1,A
Tempeh,Legumes,193,19,11,0.6,5,9,76,9,2.2,0,2,A
Tuna cooked,Seafood,132,28,1.3,0,0,47,74,0,0.3,47,1,B
Low fat yogurt,Dairy,63,5.3,1.6,7,0,70,68,7,1,6,2,B
Brown rice cooked,Grains,111,2.6,0.9,0.4,1.8,5,69,23,0.2,0,1,B
Banana raw,Fruits,89,1.1,0.3,12,2.6,1,67,23,0.1,0,1,B
Broccoli cooked,Vegetables,35,2.4,0.4,1.4,3.3,41,80,7.2,0.1,0,1,A
Salmon baked,Seafood,206,22,12,0,0,59,73,0,2.5,63,1,B
Lentils cooked,Legumes,116,9,0.4,1.8,7.9,2,81,20,0.1,0,1,A
French fries,Fast Food,312,3.4,15,0.3,3.8,210,38,41,2.3,0,4,D
Chocolate cookie,Snacks,488,5.7,24,31,2.3,340,30,65,12,20,4,D
Almonds,Nuts,579,21,50,4.4,12.5,1,64,22,3.8,0,1,B
Orange juice,Beverages,45,0.7,0.2,8.4,0.2,1,55,10.4,0,0,3,C
Tofu firm,Legumes,144,15.7,8.7,0.7,2.3,14,75,3.9,1.3,0,2,A
Whole wheat bread,Grains,247,13,4.2,5.7,7,400,62,41,0.9,0,3,B
Cheddar cheese,Dairy,403,25,33,0.5,0,621,42,1.3,19,105,3,D
Carrot raw,Vegetables,41,0.9,0.2,4.7,2.8,69,77,10,0,0,1,A
